Season,No. Overall,No. In season,Title,Directed by,Written by,Original air date,U.S. viewers (millions)
4,58,14,"""Derailed""",Patrick J. Adams,Justin Peacock & Kyle Long,"February 18, 2015",1.7
4,59,15,"""Intent""",Silver Tree,Daniel Arkin,"February 25, 2015",1.8
4,60,16,"""Not Just a Pretty Face""",Anton Cropper,Aaron Korsh,"March 4, 2015",1.55
5,61,1,"""Denial""",Anton Cropper,Aaron Korsh,"June 24, 2015",2.13
5,62,2,"""Compensation""",Michael Smith,Rick Muirragui,"July 1, 2015",2.27
5,63,3,"""No Refills""",Anton Cropper,Chris Downey,"July 8, 2015",2.16
5,64,4,"""No Puedo Hacerlo""",Silver Tree,Genevieve Sparling,"July 15, 2015",2.38
5,65,5,"""Toe to Toe""",Kevin Bray,Nora Zuckerman & Lilla Zuckerman,"July 22, 2015",2.09
5,66,6,"""Privilege""",Michael Smith,Kyle Long,"July 29, 2015",2.16
5,67,7,"""Hitting Home""",Roger Kumble,Sharyn Rothstein,"August 5, 2015",2.08
5,68,8,"""Mea Culpa""",Kate Dennis,Daniel Arkin,"August 12, 2015",2.31
5,69,9,"""Uninvited Guests""",Silver Tree,Chris Downey,"August 19, 2015",2.3
5,70,10,"""Faith""",Anton Cropper,Genevieve Sparling,"August 26, 2015",2.34
5,71,11,"""Blowback""",Cherie Nowlan,Nora Zuckerman & Lilla Zuckerman,"January 27, 2016",1.74
5,72,12,"""Live to Fight…""",Rob Seidenglanz,Sharyn Rothstein,"February 3, 2016",1.51
5,73,13,"""God's Green Earth""",Anton Cropper,Genevieve Sparling & Sandra Silverstein,"February 10, 2016",1.71
5,74,14,"""Self Defense""",Patrick J. Adams,Kyle Long,"February 17, 2016",1.58
5,75,15,"""Tick Tock""",Roger Kumble,Daniel Arkin,"February 24, 2016",1.73
5,76,16,"""25th Hour""",Anton Cropper,Aaron Korsh,"March 2, 2016",1.71
6,77,1,"""To Trouble""",Silver Tree,Aaron Korsh,"July 13, 2016",1.85
6,78,2,"""Accounts Payable""",Michael Smith,Ethan Drogin,"July 20, 2016",1.65
6,79,3,"""Back on the Map""",Cherie Nowlan,Rick Muirragui,"July 27, 2016",1.78
